,Player,Base Price,TYPE,COST IN â‚¹ (CR.),Cost IN $ (000),2021 Squad,Team
527,Aaqib Khan,20 Lakh,BOWLER,,,,Unsold
250,Aaron Finch,1.5 Cr,BATTER,,,,Unsold
632,Aaron Hardie,20 Lakh,ALL-ROUNDER,,,,Unsold
223,Abdul Samad,Retained,ALL-ROUNDER,4,520,SRH,Sunrisers Hyderabad
501,Abhijeet Saket,20 Lakh,BOWLER,,,,Unsold
89,Abhijeet Tomar,20 Lakh,BATTER,0.4,52,,Kolkata Knight Riders
353,Abhimanyu Easwaran,20 Lakh,BATTER,,,,Unsold
9,Abhinav Sadarangani,20 Lakh,BATTER,2.6,338,,Gujarat Titans
566,Abhishek Raut,20 Lakh,ALL-ROUNDER,,,,Unsold
219,Abhishek Sharma,20 Lakh,ALL-ROUNDER,6.5,845,SRH,Sunrisers Hyderabad
490,Abid Mushtaq,20 Lakh,ALL-ROUNDER,,,,Unsold
33,Adam Milne,1.5 Cr,BOWLER,1.9,247,MI,Chennai Super Kings
244,Adam Zampa,2 Cr,BOWLER,,,RCB,Unsold
241,Adil Rashid,2 Cr,BOWLER,,,PBKS,Unsold
454,Adithya Ashok,20 Lakh,BOWLER,,,,Unsold
313,Aditya Tare,20 Lakh,WICKETKEEPER,,,MI,Unsold
381,Aditya Thakare,20 Lakh,BOWLER,,,,Unsold
623,Agnivesh Ayachi,20 Lakh,ALL-ROUNDER,,,PBKS,Unsold
614,Aidan Cahill,20 Lakh,ALL-ROUNDER,,,,Unsold
226,Aiden Markram,1 Cr,BATTER,2.6,338,PBKS,Sunrisers Hyderabad
573,Ajay Dev Goud,20 Lakh,ALL-ROUNDER,,,,Unsold
592,Ajay Mandal,20 Lakh,ALL-ROUNDER,,,,Unsold
83,Ajinkya Rahane,1 Cr,BATTER,1,130,DC,Kolkata Knight Riders
525,Akash Choudhary,20 Lakh,BOWLER,,,,Unsold
187,Akash Deep,20 Lakh,BOWLER,0.2,26,RCB,Royal Challengers Bangalore
498,Akash Madhwal,20 Lakh,BOWLER,,,,Unsold
269,Akash Singh,20 Lakh,BOWLER,,,RR,Unsold
340,Akeal Hosein,50 Lakh,ALL-ROUNDER,,,,Unsold
291,Akila Dhananjaya,50 Lakh,BOWLER,,,,Unsold
488,Akshay Karnewar,20 Lakh,ALL-ROUNDER,,,,Unsold
393,Akshay Wakhare,20 Lakh,BOWLER,,,,Unsold
312,Akshdeep Nath,20 Lakh,WICKETKEEPER,,,,Unsold
82,Alex Hales,1.5 Cr,BATTER,1.5,195,,Kolkata Knight Riders
425,Alex Ross,20 Lakh,BATTER,,,,Unsold
446,Ali Khan,40 Lakh,BOWLER,,,,Unsold
11,Alzarri Joseph,75 Lakh,BOWLER,2.4,312,,Gujarat Titans
93,Aman Khan,20 Lakh,ALL-ROUNDER,0.2,26,,Kolkata Knight Riders
356,Amandeep Khare,20 Lakh,BATTER,,,,Unsold
26,Ambati Rayudu,2 Cr,WICKETKEEPER,6.75,877.5,CSK,Chennai Super Kings
514,Amit Ali,20 Lakh,ALL-ROUNDER,,,,Unsold
240,Amit Mishra,1.5 Cr,BOWLER,,,DC,Unsold
499,Amit Mishra,20 Lakh,BOWLER,,,,Unsold
570,Amit Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold
508,Anaru Kitchen,50 Lakh,ALL-ROUNDER,,,,Unsold
511,Andile Phehlukwayo,50 Lakh,ALL-ROUNDER,,,,Unsold
279,Andre Fletcher,50 Lakh,WICKETKEEPER,,,,Unsold
72,Andre Russell,Retained,ALL-ROUNDER,12,1560,KKR,Kolkata Knight Riders
288,Andrew Tye,1 Cr,BOWLER,,,RR,Unsold
188,Aneeshwar Gautam,20 Lakh,ALL-ROUNDER,0.2,26,,Royal Challengers Bangalore
444,Aniket Choudhary,20 Lakh,BOWLER,,,,Unsold
535,Anirudha Joshi,20 Lakh,ALL-ROUNDER,,,DC,Unsold
136,Ankit Singh Rajpoot,20 Lakh,BOWLER,0.5,65,,Lucknow Super Giants
308,Ankush Bains,20 Lakh,WICKETKEEPER,,,,Unsold
162,Anmolpreet Singh,20 Lakh,BATTER,0.2,26,MI,Mumbai Indians
52,Anrich Nortje,Retained,BOWLER,6.5,845,DC,Delhi Capitals
116,Ansh Patel,20 Lakh,ALL-ROUNDER,0.2,26,,Punjab Kings
500,Anuj Raj,20 Lakh,BOWLER,,,,Unsold
176,Anuj Rawat,20 Lakh,WICKETKEEPER,3.4,442,RR,Royal Challengers Bangalore
91,Anukul Roy,20 Lakh,ALL-ROUNDER,0.2,26,MI,Kolkata Knight Riders
208,Anunay Singh,20 Lakh,ALL-ROUNDER,0.2,26,,Rajasthan Royals
305,Apoorv Wankhade,20 Lakh,BATTER,,,,Unsold
602,Arjit Gupta,20 Lakh,ALL-ROUNDER,,,,Unsold
160,Arjun Tendulkar,20 Lakh,ALL-ROUNDER,0.3,39,MI,Mumbai Indians
538,Arpit Guleria,20 Lakh,BOWLER,,,,Unsold
104,Arshdeep Singh,Retained,BOWLER,4,520,PBKS,Punjab Kings
572,Arun Chaprana,20 Lakh,ALL-ROUNDER,,,,Unsold
368,Arun Karthick,40 Lakh,WICKETKEEPER,,,,Unsold
163,Aryan Juyal,20 Lakh,WICKETKEEPER,0.2,26,,Mumbai Indians
268,Arzan Nagwaswalla,20 Lakh,BOWLER,,,,Unsold
87,Ashok Sharma,20 Lakh,BOWLER,0.55,71.5,,Kolkata Knight Riders
402,Ashton Agar,2 Cr,ALL-ROUNDER,,,,Unsold
578,Ashutosh Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
67,Ashwin Hebbar,20 Lakh,BATTER,0.2,26,,Delhi Capitals
306,Atharva Ankolekar,20 Lakh,ALL-ROUNDER,,,,Unsold
119,Atharva Taide,20 Lakh,ALL-ROUNDER,0.2,26,,Punjab Kings
363,Atit Sheth,20 Lakh,ALL-ROUNDER,,,,Unsold
531,Auqib Dar,20 Lakh,ALL-ROUNDER,,,,Unsold
122,Avesh Khan,20 Lakh,BOWLER,10,1300,DC,Lucknow Super Giants
396,Avishka Fernando,50 Lakh,BATTER,,,,Unsold
49,Axar Patel,Retained,ALL-ROUNDER,9,1170,DC,Delhi Capitals
140,Ayush Badoni,20 Lakh,ALL-ROUNDER,0.2,26,,Lucknow Super Giants
575,Azim Kazi,20 Lakh,ALL-ROUNDER,,,,Unsold
138,B. Sai Sudharsan,20 Lakh,ALL-ROUNDER,0.2,26,,Lucknow Super Giants
373,B.R. Sharath,20 Lakh,WICKETKEEPER,,,,Unsold
427,Baba Aparajith,20 Lakh,ALL-ROUNDER,,,,Unsold
92,Baba Indrajith,20 Lakh,WICKETKEEPER,0.2,26,,Kolkata Knight Riders
450,Babasafi Pathan,20 Lakh,BOWLER,,,,Unsold
120,Baltej Dhanda,20 Lakh,BOWLER,0.2,26,,Punjab Kings
523,Bandaru Ayyappa,20 Lakh,BOWLER,,,,Unsold
416,Barinder Sran,50 Lakh,BOWLER,,,,Unsold
161,Basil Thampi,30 Lakh,BOWLER,0.3,39,SRH,Mumbai Indians
617,Bavanaka Sandeep,20 Lakh,ALL-ROUNDER,,,,Unsold
337,Ben Cutting,75 Lakh,ALL-ROUNDER,,,KKR,Unsold
315,Ben Dwarshuis,30 Lakh,BOWLER,,,,Unsold
283,Ben Mcdermott,50 Lakh,WICKETKEEPER,,,,Unsold
113,Benny Howell,40 Lakh,ALL-ROUNDER,0.4,52,,Punjab Kings
609,Beyers Swanepoel,20 Lakh,ALL-ROUNDER,,,,Unsold
112,Bhanuka Rajapaksa,50 Lakh,BATTER,0.5,65,,Punjab Kings
568,Bharat Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
482,Bhupen Lalwani,20 Lakh,BATTER,,,,Unsold
221,Bhuvneshwar Kumar,2 Cr,BOWLER,4.2,546,SRH,Sunrisers Hyderabad
417,Billy Stanlake,75 Lakh,BOWLER,,,,Unsold
479,Blair Tickner,50 Lakh,BOWLER,,,,Unsold
413,Blessing Muzarabani,50 Lakh,BOWLER,,,,Unsold
529,Brad Wheal,50 Lakh,BOWLER,,,,Unsold
329,Brandon King,50 Lakh,BATTER,,,,Unsold
42,C.Hari Nishaanth,20 Lakh,BATTER,0.2,26,CSK,Chennai Super Kings
437,Cam Fletcher,20 Lakh,WICKETKEEPER,,,,Unsold
403,Carlos Brath15000000e,75 Lakh,ALL-ROUNDER,,,,Unsold
515,Chaitanya Bishnoi,20 Lakh,ALL-ROUNDER,,,,Unsold
186,Chama Milind,20 Lakh,BOWLER,0.25,32.5,,Royal Challengers Bangalore
88,Chamika Karunaratne,50 Lakh,ALL-ROUNDER,0.5,65,,Kolkata Knight Riders
275,Charith Asalanka,50 Lakh,ALL-ROUNDER,,,,Unsold
55,Chetan Sakariya,50 Lakh,BOWLER,4.2,546,RR,Delhi Capitals
254,Cheteshwar Pujara,50 Lakh,BATTER,,,CSK,Unsold
541,Chinntla Readdi,20 Lakh,BOWLER,,,,Unsold
385,Chintal Gandhi,20 Lakh,BOWLER,,,,Unsold
532,Chirag Gandhi,20 Lakh,ALL-ROUNDER,,,,Unsold
533,Chris Green,40 Lakh,ALL-ROUNDER,,,,Unsold
30,Chris Jordan,2 Cr,ALL-ROUNDER,3.6,468,PBKS,Chennai Super Kings
273,Chris Lynn,1.5 Cr,BATTER,,,MI,Unsold
462,Colin De Grandhomme,1 Cr,ALL-ROUNDER,,,,Unsold
405,Colin Munro,1.5 Cr,ALL-ROUNDER,,,,Unsold
545,Corbin Bosch,20 Lakh,ALL-ROUNDER,,,,Unsold
464,Craig Overton,2 Cr,ALL-ROUNDER,,,,Unsold
461,Curtis Campher,50 Lakh,ALL-ROUNDER,,,,Unsold
151,Daniel Sams,1 Cr,ALL-ROUNDER,2.6,338,RCB,Mumbai Indians
507,Danushka Gunatilaka,50 Lakh,ALL-ROUNDER,,,,Unsold
468,Darcy Short,1 Cr,ALL-ROUNDER,,,,Unsold
394,Darren Bravo,75 Lakh,BATTER,,,,Unsold
20,Darshan Nalkande,20 Lakh,ALL-ROUNDER,0.2,26,PBKS,Gujarat Titans
206,Daryl Mitchell,75 Lakh,ALL-ROUNDER,0.75,97.5,,Rajasthan Royals
472,Daryn Dupavillon,50 Lakh,BOWLER,,,,Unsold
409,Dasun Shanaka,50 Lakh,ALL-ROUNDER,,,,Unsold
7,David Miller,1 Cr,BATTER,3,390,RR,Gujarat Titans
53,David Warner,2 Cr,BATTER,6.25,812.5,SRH,Delhi Capitals
365,David Wiese,50 Lakh,ALL-ROUNDER,,,,Unsold
178,David Willey,2 Cr,ALL-ROUNDER,2,260,,Royal Challengers Bangalore
252,Dawid Malan,1.5 Cr,BATTER,,,PBKS,Unsold
23,Deepak Chahar,2 Cr,BOWLER,14,1820,CSK,Chennai Super Kings
128,Deepak Hooda,75 Lakh,ALL-ROUNDER,5.75,747.5,PBKS,Lucknow Super Giants
591,Dev Lakra,20 Lakh,ALL-ROUNDER,,,,Unsold
195,Devdutt Padikkal,2 Cr,BATTER,7.75,1007.5,RCB,Rajasthan Royals
36,Devon Conway,1 Cr,BATTER,1,130,,Chennai Super Kings
150,Dewald Brevis,20 Lakh,BATTER,3,390,,Mumbai Indians
509,Dhananjaya Lakshan,50 Lakh,ALL-ROUNDER,,,,Unsold
321,Dharmendrasinh Jadeja,20 Lakh,BOWLER,,,,Unsold
346,Dhawal Kulkarni,75 Lakh,BOWLER,,,MI,Unsold
521,Dhrushant Soni,20 Lakh,ALL-ROUNDER,,,,Unsold
210,Dhruv Jurel,20 Lakh,WICKETKEEPER,0.2,26,,Rajasthan Royals
362,Dhruv Patel,20 Lakh,ALL-ROUNDER,,,,Unsold
358,Dhruv Shorey,20 Lakh,BATTER,,,,Unsold
565,Dikshanshu Negi,20 Lakh,ALL-ROUNDER,,,,Unsold
175,Dinesh Karthik,2 Cr,WICKETKEEPER,5.5,715,KKR,Royal Challengers Bangalore
574,Divyang Hinganekar,20 Lakh,ALL-ROUNDER,,,,Unsold
547,Diwesh Pathania,20 Lakh,ALL-ROUNDER,,,,Unsold
16,Dominic Drakes,75 Lakh,ALL-ROUNDER,1.1,143,CSK,Gujarat Titans
481,Donavon Ferreira,20 Lakh,BATTER,,,,Unsold
590,Duan Jansen,20 Lakh,ALL-ROUNDER,,,,Unsold
622,Dunith Wellalage,20 Lakh,ALL-ROUNDER,,,,Unsold
131,Dushmanta Chameera,50 Lakh,BOWLER,2,260,,Lucknow Super Giants
38,Dwaine Pretorius,50 Lakh,ALL-ROUNDER,0.5,65,,Chennai Super Kings
28,Dwayne Bravo,2 Cr,ALL-ROUNDER,4.4,572,CSK,Chennai Super Kings
369,Eknath Kerkar,20 Lakh,WICKETKEEPER,,,,Unsold
253,Eoin Morgan,1.5 Cr,BATTER,,,KKR,Unsold
132,Evin Lewis,2 Cr,BATTER,2,260,RR,Lucknow Super Giants
157,Fabian Allen,75 Lakh,ALL-ROUNDER,0.75,97.5,,Mumbai Indians
173,Faf Du Plessis,2 Cr,BATTER,7,910,CSK,Royal Challengers Bangalore
231,Fazalhaq Farooqi,50 Lakh,BOWLER,0.5,65,,Sunrisers Hyderabad
439,Fazil Makaya,20 Lakh,WICKETKEEPER,,,,Unsold
473,Fidel Edwards,50 Lakh,BOWLER,,,,Unsold
181,Finn Allen,50 Lakh,BATTER,0.8,104,RCB,Royal Challengers Bangalore
378,G Periyasamy,20 Lakh,BOWLER,,,,Unsold
506,Gareth Delany,50 Lakh,ALL-ROUNDER,,,,Unsold
276,George Garton,50 Lakh,ALL-ROUNDER,,,RCB,Unsold
487,Gerald Coetzee,20 Lakh,ALL-ROUNDER,,,,Unsold
594,Girinath Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold
169,Glenn Maxwell,Retained,ALL-ROUNDER,11,1430,RCB,Royal Challengers Bangalore
228,Glenn Phillips,1.5 Cr,WICKETKEEPER,1.5,195,RR,Sunrisers Hyderabad
406,Gulbadin Naib,50 Lakh,ALL-ROUNDER,,,,Unsold
18,Gurkeerat Singh,50 Lakh,ALL-ROUNDER,0.5,65,KKR,Gujarat Titans
524,Gurnoor Singh Brar,20 Lakh,BOWLER,,,,Unsold
474,Hamid Hassan,50 Lakh,BOWLER,,,,Unsold
471,Hamish Bennett,50 Lakh,BOWLER,,,,Unsold
333,Hanuma Vihari,50 Lakh,BATTER,,,,Unsold
1,Hardik Pandya,Draft Pick,ALL-ROUNDER,15,1950,MI,Gujarat Titans
626,Hardik Tamore,20 Lakh,WICKETKEEPER,,,,Unsold
265,Harnoor Singh,20 Lakh,BATTER,,,,Unsold
350,Harpreet Bhatia,40 Lakh,BATTER,,,,Unsold
105,Harpreet Brar,20 Lakh,ALL-ROUNDER,3.8,494,PBKS,Punjab Kings
552,Harsh Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold
171,Harshal Patel,2 Cr,ALL-ROUNDER,10.75,1397.5,RCB,Royal Challengers Bangalore
436,Harvik Desai,20 Lakh,WICKETKEEPER,,,,Unsold
400,Hashmatullah Shahidi,50 Lakh,BATTER,,,,Unsold
359,Hayden Kerr,20 Lakh,ALL-ROUNDER,,,,Unsold
296,Hayden Walsh,50 Lakh,BOWLER,,,,Unsold
335,Hazratullah Zazai,50 Lakh,BATTER,,,,Unsold
282,Heinrich Klaasen,50 Lakh,WICKETKEEPER,,,,Unsold
483,Henan Malik,20 Lakh,BATTER,,,,Unsold
619,Henry Shipley,20 Lakh,ALL-ROUNDER,,,,Unsold
505,Hilton Cartwright,50 Lakh,ALL-ROUNDER,,,,Unsold
264,Himanshu Rana,20 Lakh,BATTER,,,,Unsold
266,Himmat Singh,20 Lakh,BATTER,,,,Unsold
352,Hiten Dalal,20 Lakh,BATTER,,,,Unsold
166,Hrithik Shokeen,20 Lakh,ALL-ROUNDER,0.2,26,,Mumbai Indians
242,Imran Tahir,2 Cr,BOWLER,,,CSK,Unsold
261,Ish Sodhi,50 Lakh,BOWLER,,,,Unsold
611,Ishan Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold
144,Ishan Kishan,2 Cr,WICKETKEEPER,15.25,1982.5,MI,Mumbai Indians
114,Ishan Porel,20 Lakh,BOWLER,0.25,32.5,PBKS,Punjab Kings
420,Ishank Jaggi,20 Lakh,BATTER,,,,Unsold
257,Ishant Sharma,1.5 Cr,BOWLER,,,DC,Unsold
480,Isuru Udana,50 Lakh,BOWLER,,,,Unsold
387,Izharulhuq Naveed,20 Lakh,BOWLER,,,,Unsold
605,J. Kousik,20 Lakh,ALL-ROUNDER,,,,Unsold
470,Jack Wildermuth,50 Lakh,ALL-ROUNDER,,,,Unsold
386,Jacob Lintott,20 Lakh,BOWLER,,,,Unsold
234,Jagadeesha Suchith,20 Lakh,BOWLER,0.2,26,SRH,Sunrisers Hyderabad
494,Jaideep Bhambhu,20 Lakh,BOWLER,,,,Unsold
486,Jake Weatherald,20 Lakh,BATTER,,,,Unsold
325,Jalaj Saxena,30 Lakh,BOWLER,,,PBKS,Unsold
463,James Faulkner,1 Cr,ALL-ROUNDER,,,,Unsold
202,James Neesham,1.5 Cr,ALL-ROUNDER,1.5,195,MI,Rajasthan Royals
334,James Vince,2 Cr,BATTER,,,,Unsold
330,Janneman Malan,50 Lakh,BATTER,,,,Unsold
455,Jasmer Dhankhar,20 Lakh,BOWLER,,,,Unsold
183,Jason Behrendorff,75 Lakh,BOWLER,0.75,97.5,CSK,Royal Challengers Bangalore
124,Jason Holder,1.5 Cr,ALL-ROUNDER,8.75,1137.5,SRH,Lucknow Super Giants
12,Jason Roy,2 Cr,BATTER,2,260,SRH,Gujarat Titans
587,Jason Sangha,20 Lakh,ALL-ROUNDER,,,,Unsold
145,Jasprit Bumrah,Retained,BOWLER,12,1560,MI,Mumbai Indians
562,Jay Bista,20 Lakh,ALL-ROUNDER,,,,Unsold
14,Jayant Yadav,1 Cr,ALL-ROUNDER,1.7,221,MI,Gujarat Titans
414,Jayden Seales,50 Lakh,BOWLER,,,,Unsold
155,Jaydev Unadkat,75 Lakh,BOWLER,1.3,169,RR,Mumbai Indians
606,Jitender Pal,20 Lakh,ALL-ROUNDER,,,,Unsold
117,Jitesh Sharma,20 Lakh,WICKETKEEPER,0.2,26,,Punjab Kings
476,Joel Paris,50 Lakh,BOWLER,,,,Unsold
147,Jofra Archer,2 Cr,ALL-ROUNDER,8,1040,RR,Mumbai Indians
621,Johan Van Dyk,20 Lakh,ALL-ROUNDER,,,,Unsold
550,Johannes Smit,20 Lakh,ALL-ROUNDER,,,,Unsold
457,Jon Russ Jaggesar,20 Lakh,BOWLER,,,,Unsold
101,Jonny Bairstow,1.5 Cr,WICKETKEEPER,6.75,877.5,SRH,Punjab Kings
607,Jonty Sidhu,20 Lakh,ALL-ROUNDER,,,,Unsold
191,Jos Buttler,Retained,WICKETKEEPER,10,1300,RR,Rajasthan Royals
172,Josh Hazlewood,2 Cr,BOWLER,7.75,1007.5,CSK,Royal Challengers Bangalore
412,Josh Little,50 Lakh,BOWLER,,,,Unsold
286,Joshua Philippe,1 Cr,WICKETKEEPER,,,,Unsold
133,K. Gowtham,50 Lakh,ALL-ROUNDER,0.9,117,CSK,Lucknow Super Giants
39,K.Bhagath Varma,20 Lakh,ALL-ROUNDER,0.2,26,CSK,Chennai Super Kings
207,K.C Cariappa,20 Lakh,BOWLER,0.3,39,RR,Rajasthan Royals
374,K.L. Shrijith,20 Lakh,WICKETKEEPER,,,,Unsold
43,K.M. Asif,20 Lakh,BOWLER,0.2,26,CSK,Chennai Super Kings
57,K.S. Bharat,20 Lakh,WICKETKEEPER,2,260,RCB,Delhi Capitals
567,K.V. Sasikanth,20 Lakh,ALL-ROUNDER,,,,Unsold
98,Kagiso Rabada,2 Cr,BOWLER,9.25,1202.5,DC,Punjab Kings
366,Kaif Ahmad,20 Lakh,WICKETKEEPER,,,,Unsold
60,Kamlesh Nagarkoti,40 Lakh,ALL-ROUNDER,1.1,143,KKR,Delhi Capitals
348,Kane Richardson,1.5 Cr,BOWLER,,,RCB,Unsold
214,Kane Williamson,Retained,BATTER,14,1820,SRH,Sunrisers Hyderabad
139,Karan Sharma,20 Lakh,ALL-ROUNDER,0.2,26,,Lucknow Super Giants
341,Karim Janat,50 Lakh,ALL-ROUNDER,,,,Unsold
184,Karn Sharma,50 Lakh,BOWLER,0.5,65,CSK,Royal Challengers Bangalore
225,Kartik Tyagi,20 Lakh,BOWLER,4,520,RR,Sunrisers Hyderabad
445,Kartikeya Kak,20 Lakh,BOWLER,,,,Unsold
203,Karun Nair,50 Lakh,BATTER,1.4,182,KKR,Rajasthan Royals
433,Kaushal Tambe,20 Lakh,ALL-ROUNDER,,,,Unsold
310,Kedar Devdhar,20 Lakh,WICKETKEEPER,,,,Unsold
404,Kedar Jadhav,1 Cr,ALL-ROUNDER,,,SRH,Unsold
407,Keemo Paul,75 Lakh,ALL-ROUNDER,,,,Unsold
370,Kennar Lewis,40 Lakh,WICKETKEEPER,,,,Unsold
293,Keshav Maharaj,50 Lakh,BOWLER,,,,Unsold
459,Kevin Koththigoda,20 Lakh,BOWLER,,,,Unsold
600,Khizar Dafedar,20 Lakh,ALL-ROUNDER,,,,Unsold
322,Khrievitso Kense,20 Lakh,BOWLER,,,,Unsold
559,Khwezi Gumede,20 Lakh,BOWLER,,,,Unsold
149,Kieron Pollard,Retained,ALL-ROUNDER,6,780,MI,Mumbai Indians
121,KL Rahul,Draft Pick,WICKETKEEPER,17,2210,PBKS,Lucknow Super Giants
125,Krunal Pandya,2 Cr,ALL-ROUNDER,8.25,1072.5,MI,Lucknow Super Giants
209,Kuldeep Sen,20 Lakh,BOWLER,0.2,26,,Rajasthan Royals
59,Kuldeep Yadav,1 Cr,BOWLER,2,260,KKR,Delhi Capitals
212,Kuldip Yadav,20 Lakh,BOWLER,0.2,26,RR,Rajasthan Royals
447,Kulwant Khejroliya,20 Lakh,BOWLER,,,DC,Unsold
580,Kumar Kartikeya Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
399,Kurtis Patterson,50 Lakh,BATTER,,,,Unsold
284,Kusal Mendis,50 Lakh,WICKETKEEPER,,,,Unsold
285,Kusal Perera,50 Lakh,WICKETKEEPER,,,,Unsold
392,Kushaal Wadhwani,20 Lakh,BOWLER,,,,Unsold
134,Kyle Mayers,50 Lakh,ALL-ROUNDER,0.5,65,,Lucknow Super Giants
475,Lahiru Kumara,50 Lakh,BOWLER,,,,Unsold
593,Lakhan Raja,20 Lakh,ALL-ROUNDER,,,,Unsold
62,Lalit Yadav,20 Lakh,ALL-ROUNDER,0.65,84.5,DC,Delhi Capitals
530,Lalit Yadav,20 Lakh,BOWLER,,,,Unsold
631,Lance Morris,20 Lakh,BOWLER,,,,Unsold
354,Laurie Evans,40 Lakh,BATTER,,,,Unsold
338,Lewis Gregory,1.5 Cr,ALL-ROUNDER,,,,Unsold
560,Liam Guthrie,20 Lakh,BOWLER,,,,Unsold
561,Liam Hatcher,20 Lakh,BOWLER,,,,Unsold
97,Liam Livingstone,1 Cr,ALL-ROUNDER,11.5,1495,RR,Punjab Kings
277,Litton Das,50 Lakh,WICKETKEEPER,,,,Unsold
2,Lockie Ferguson,2 Cr,BOWLER,10,1300,KKR,Gujarat Titans
491,Lone Muzaffar,20 Lakh,ALL-ROUNDER,,,,Unsold
317,Lukman Hussain Meriwala,20 Lakh,BOWLER,,,DC,Unsold
65,Lungisani Ngidi,50 Lakh,BOWLER,0.5,65,CSK,Delhi Capitals
189,Luvnith Sisodia,20 Lakh,WICKETKEEPER,0.2,26,,Royal Challengers Bangalore
449,M Nidheesh,20 Lakh,BOWLER,,,,Unsold
522,M Venkatesh,20 Lakh,ALL-ROUNDER,,,,Unsold
583,M. Mohammed,20 Lakh,ALL-ROUNDER,,,,Unsold
249,M. Siddharth,20 Lakh,BOWLER,,,DC,Unsold
557,M.B. Darshan,20 Lakh,BOWLER,,,,Unsold
379,M.Harishankar Reddy,20 Lakh,BOWLER,,,,Unsold
37,Maheesh Theekshana,50 Lakh,BOWLER,0.7,91,,Chennai Super Kings
180,Mahipal Lomror,40 Lakh,ALL-ROUNDER,0.95,123.5,RR,Royal Challengers Bangalore
137,Manan Vohra,20 Lakh,BATTER,0.2,26,RR,Lucknow Super Giants
389,Manav Suthar,20 Lakh,BOWLER,,,,Unsold
61,Mandeep Singh,50 Lakh,BATTER,1.1,143,PBKS,Delhi Capitals
