,Player,Base Price,TYPE,COST IN â‚¹ (CR.),Cost IN $ (000),2021 Squad,Team
129,Manish Pandey,1 Cr,BATTER,4.6,598,SRH,Lucknow Super Giants
542,Manish Reddy,20 Lakh,BOWLER,,,,Unsold
571,Manoj Bhandage,20 Lakh,ALL-ROUNDER,,,,Unsold
401,Manoj Tiwary,50 Lakh,BATTER,,,,Unsold
345,Marchant De Lange,2 Cr,BOWLER,,,,Unsold
220,Marco Jansen,50 Lakh,ALL-ROUNDER,4.2,546,MI,Sunrisers Hyderabad
123,Marcus Stoinis,Draft Pick,ALL-ROUNDER,9.2,1196,DC,Lucknow Super Giants
504,Mark Adnair,50 Lakh,ALL-ROUNDER,,,,Unsold
615,Mark Deyal,20 Lakh,ALL-ROUNDER,,,,Unsold
126,Mark Wood,2 Cr,BOWLER,7.5,975,,Lucknow Super Giants
251,Marnus Labuschagne,1 Cr,BATTER,,,,Unsold
327,Martin Guptill,75 Lakh,BATTER,,,,Unsold
377,Matheesha Pathirana,20 Lakh,BOWLER,,,,Unsold
496,Matt Kelly,30 Lakh,BOWLER,,,,Unsold
596,Matthew Short,20 Lakh,ALL-ROUNDER,,,,Unsold
10,Matthew Wade,2 Cr,WICKETKEEPER,2.4,312,,Gujarat Titans
620,Maxwell Swaminathan,20 Lakh,ALL-ROUNDER,,,,Unsold
96,Mayank Agarwal,Retained,BATTER,12,1560,PBKS,Punjab Kings
516,Mayank Dagar,20 Lakh,ALL-ROUNDER,,,,Unsold
158,Mayank Markande,50 Lakh,BOWLER,0.65,84.5,RR,Mumbai Indians
357,Mayank Rawat,20 Lakh,BATTER,,,,Unsold
142,Mayank Yadav,20 Lakh,BOWLER,0.2,26,,Lucknow Super Giants
603,Mickil Jaiswal,20 Lakh,ALL-ROUNDER,,,,Unsold
326,Midhun Sudhesan,20 Lakh,BOWLER,,,,Unsold
517,Migael Pretorius,20 Lakh,ALL-ROUNDER,,,,Unsold
627,Mihir Hirwani,20 Lakh,BOWLER,,,,Unsold
390,Milind Tandon,20 Lakh,BOWLER,,,,Unsold
51,Mitchell Marsh,2 Cr,ALL-ROUNDER,6.5,845,,Delhi Capitals
32,Mitchell Santner,1 Cr,ALL-ROUNDER,1.9,247,CSK,Chennai Super Kings
25,Moeen Ali,Retained,ALL-ROUNDER,8,1040,CSK,Chennai Super Kings
84,Mohammad Nabi,1 Cr,ALL-ROUNDER,1,130,SRH,Kolkata Knight Riders
5,Mohammad Shami,2 Cr,BOWLER,6.25,812.5,PBKS,Gujarat Titans
612,Mohammed Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold
246,Mohammed Azharuddeen,20 Lakh,WICKETKEEPER,,,RCB,Unsold
174,Mohammed Siraj,Retained,BOWLER,7,910,RCB,Royal Challengers Bangalore
167,Mohd. Arshad Khan,20 Lakh,ALL-ROUNDER,0.2,26,,Mumbai Indians
375,Mohit Avasthi,20 Lakh,BOWLER,,,,Unsold
526,Mohit Jangra,20 Lakh,BOWLER,,,,Unsold
415,Mohit Sharma,50 Lakh,BOWLER,,,,Unsold
141,Mohsin Khan,20 Lakh,BOWLER,0.2,26,MI,Lucknow Super Giants
339,Moises Henriques,1 Cr,ALL-ROUNDER,,,PBKS,Unsold
629,Monu Singh,20 Lakh,BOWLER,,,,Unsold
24,MS Dhoni,Retained,WICKETKEEPER,12,1560,CSK,Chennai Super Kings
243,Mujeeb Zadran,2 Cr,BOWLER,,,SRH,Unsold
272,Mujtaba Yousuf,20 Lakh,BOWLER,,,,Unsold
46,Mukesh Choudhary,20 Lakh,BOWLER,0.2,26,,Chennai Super Kings
452,Mukesh Kumar Singh,20 Lakh,BOWLER,,,,Unsold
469,Murali Vijay,50 Lakh,ALL-ROUNDER,,,,Unsold
153,Murugan Ashwin,20 Lakh,BOWLER,1.6,208,PBKS,Mumbai Indians
58,Mustafizur Rahman,2 Cr,BOWLER,2,260,RR,Delhi Capitals
41,N. Jagadeesan,20 Lakh,WICKETKEEPER,0.2,26,CSK,Chennai Super Kings
152,N. Tilak Varma,20 Lakh,ALL-ROUNDER,1.7,221,,Mumbai Indians
274,Najibullah Zadran,50 Lakh,BATTER,,,,Unsold
495,Nandre Burger,20 Lakh,BOWLER,,,,Unsold
201,Nathan Coulter-Nile,2 Cr,BOWLER,2,260,MI,Rajasthan Royals
108,Nathan Ellis,75 Lakh,BOWLER,0.75,97.5,PBKS,Punjab Kings
546,Nathan McAndrew,20 Lakh,ALL-ROUNDER,,,,Unsold
426,Naushad Shaikh,20 Lakh,BATTER,,,,Unsold
200,Navdeep Saini,75 Lakh,BOWLER,2.6,338,RCB,Rajasthan Royals
349,Naveen Ul Haq,50 Lakh,BOWLER,,,,Unsold
418,Neil Wagner,50 Lakh,BOWLER,,,,Unsold
215,Nicholas Pooran,1.5 Cr,WICKETKEEPER,10.75,1397.5,PBKS,Sunrisers Hyderabad
616,Nidhish Rajagopal,20 Lakh,ALL-ROUNDER,,,,Unsold
299,Nikhil Gangta,20 Lakh,BATTER,,,,Unsold
371,Nikhil Naik,20 Lakh,WICKETKEEPER,,,,Unsold
492,Ninad Rathva,20 Lakh,ALL-ROUNDER,,,,Unsold
278,Niroshan Dickwella,50 Lakh,WICKETKEEPER,,,,Unsold
73,Nitish Rana,1 Cr,ALL-ROUNDER,8,1040,KKR,Kolkata Knight Riders
625,Nitish Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold
630,Nivethan Radhakrishnan,20 Lakh,BOWLER,,,,Unsold
19,Noor Ahmad,30 Lakh,BOWLER,0.3,39,,Gujarat Titans
503,Nuwan Thushara,20 Lakh,BOWLER,,,,Unsold
598,Nyeem Young,20 Lakh,ALL-ROUNDER,,,,Unsold
205,Obed Mccoy,75 Lakh,BOWLER,0.75,97.5,,Rajasthan Royals
102,Odean Smith,1 Cr,ALL-ROUNDER,6,780,,Punjab Kings
478,Oshane Thomas,50 Lakh,BOWLER,,,,Unsold
556,Ottneil Baartman,20 Lakh,BOWLER,,,,Unsold
316,Pankaj Jaswal,20 Lakh,BOWLER,,,,Unsold
324,Pardeep Sahu,20 Lakh,BOWLER,,,,Unsold
577,Parth Sahani,20 Lakh,ALL-ROUNDER,,,,Unsold
408,Parvez Rasool,50 Lakh,ALL-ROUNDER,,,,Unsold
76,Pat Cummins,2 Cr,ALL-ROUNDER,7.25,942.5,KKR,Kolkata Knight Riders
398,Pathum Nissaanka,50 Lakh,BATTER,,,,Unsold
332,Paul Stirling,50 Lakh,BATTER,,,,Unsold
343,Pawan Negi,50 Lakh,ALL-ROUNDER,,,KKR,Unsold
259,Piyush Chawla,1 Cr,BOWLER,,,MI,Unsold
109,Prabhsimran Singh,20 Lakh,WICKETKEEPER,0.6,78,PBKS,Punjab Kings
21,Pradeep Sangwan,20 Lakh,ALL-ROUNDER,0.2,26,,Gujarat Titans
585,Pradosh Paul,20 Lakh,ALL-ROUNDER,,,,Unsold
610,Pranshu Vijayran,20 Lakh,ALL-ROUNDER,,,,Unsold
309,Prashant Chopra,20 Lakh,WICKETKEEPER,,,,Unsold
35,Prashant Solanki,20 Lakh,BOWLER,1.2,156,,Chennai Super Kings
192,Prasidh Krishna,1 Cr,BOWLER,10,1300,KKR,Rajasthan Royals
95,Pratham Singh,20 Lakh,BATTER,0.2,26,,Kolkata Knight Riders
519,Pratyush Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
64,Pravin Dubey,20 Lakh,ALL-ROUNDER,0.5,65,DC,Delhi Capitals
428,Prayas Barman,20 Lakh,ALL-ROUNDER,,,,Unsold
115,Prerak Mankad,20 Lakh,ALL-ROUNDER,0.2,26,,Punjab Kings
613,Prerit Agrawal,20 Lakh,ALL-ROUNDER,,,,Unsold
456,Prerit Dutta,20 Lakh,BOWLER,,,,Unsold
323,Prince Balwant Rai,20 Lakh,BOWLER,,,,Unsold
50,Prithvi Shaw,Retained,BATTER,7.5,975,DC,Delhi Capitals
383,Prithviraj Yarra,20 Lakh,BOWLER,,,,Unsold
232,Priyam Garg,20 Lakh,BATTER,0.2,26,SRH,Sunrisers Hyderabad
302,Priyank Panchal,20 Lakh,BATTER,,,,Unsold
484,Pukhraj Mann,20 Lakh,BATTER,,,,Unsold
584,Pulkit Narang,20 Lakh,ALL-ROUNDER,,,,Unsold
588,Purnank Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold
586,Pushpendra Singh Rathore,20 Lakh,ALL-ROUNDER,,,,Unsold
258,Qais Ahmad,50 Lakh,BOWLER,,,,Unsold
419,Qamran Iqbal,20 Lakh,BATTER,,,,Unsold
127,Quinton De Kock,2 Cr,WICKETKEEPER,6.75,877.5,MI,Lucknow Super Giants
233,R Samarth,20 Lakh,BATTER,0.2,26,,Sunrisers Hyderabad
453,R. Alexandar,20 Lakh,BOWLER,,,,Unsold
197,R. Ashwin,2 Cr,ALL-ROUNDER,5,650,DC,Rajasthan Royals
8,R. Sai Kishore,20 Lakh,BOWLER,3,390,CSK,Gujarat Titans
380,R. Silambarasan,20 Lakh,BOWLER,,,,Unsold
553,R. Vivek,20 Lakh,ALL-ROUNDER,,,,Unsold
554,R.Sonu Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold
280,Rahmanullah Gurbaz,50 Lakh,WICKETKEEPER,,,,Unsold
165,Rahul Buddhi,20 Lakh,BATTER,0.2,26,,Mumbai Indians
103,Rahul Chahar,75 Lakh,BOWLER,5.25,682.5,MI,Punjab Kings
435,Rahul Chandrol,20 Lakh,WICKETKEEPER,,,,Unsold
355,Rahul Gahlaut,20 Lakh,BATTER,,,,Unsold
295,Rahul Sharma,50 Lakh,BOWLER,,,,Unsold
502,Rahul Shukla,20 Lakh,BOWLER,,,,Unsold
3,Rahul Tewatia,40 Lakh,ALL-ROUNDER,9,1170,RR,Gujarat Titans
217,Rahul Tripathi,40 Lakh,BATTER,8.5,1105,KKR,Sunrisers Hyderabad
107,Raj Angad Bawa,20 Lakh,ALL-ROUNDER,2,260,,Punjab Kings
245,Rajat Patidar,20 Lakh,BATTER,,,RCB,Unsold
34,Rajvardhan Hangargekar,30 Lakh,ALL-ROUNDER,1.5,195,,Chennai Super Kings
164,Ramandeep Singh,20 Lakh,ALL-ROUNDER,0.2,26,,Mumbai Indians
94,Ramesh Kumar,20 Lakh,BATTER,0.2,26,,Kolkata Knight Riders
0,Rashid Khan,Draft Pick,BOWLER,15,1950,SRH,Gujarat Titans
90,Rasikh Dar,20 Lakh,BOWLER,0.2,26,,Kolkata Knight Riders
204,Rassie Van Der Dussen,1 Cr,BATTER,1,130,,Rajasthan Royals
130,Ravi Bishnoi,Draft Pick,BOWLER,4,520,PBKS,Lucknow Super Giants
581,Ravi Chauhan,20 Lakh,ALL-ROUNDER,,,,Unsold
543,Ravi Sharma,20 Lakh,BOWLER,,,,Unsold
22,Ravindra Jadeja,Retained,ALL-ROUNDER,16,2080,CSK,Chennai Super Kings
513,Raymon Reifer,50 Lakh,ALL-ROUNDER,,,,Unsold
287,Reece Topley,75 Lakh,BOWLER,,,,Unsold
263,Ricky Bhui,20 Lakh,BATTER,,,,Unsold
331,Rilee Rossouw,1 Cr,BATTER,,,,Unsold
156,Riley Meredith,1 Cr,BOWLER,1,130,PBKS,Mumbai Indians
86,Rinku Singh,20 Lakh,BATTER,0.55,71.5,,Kolkata Knight Riders
69,Ripal Patel,20 Lakh,ALL-ROUNDER,0.2,26,DC,Delhi Capitals
47,Rishabh Pant,Retained,WICKETKEEPER,16,2080,DC,Delhi Capitals
110,Rishi Dhawan,50 Lakh,ALL-ROUNDER,0.55,71.5,,Punjab Kings
304,Ritwik Roy Chowdhury,20 Lakh,BATTER,,,,Unsold
199,Riyan Parag,30 Lakh,ALL-ROUNDER,3.8,494,RR,Rajasthan Royals
31,Robin Uthappa,2 Cr,BATTER,2,260,CSK,Chennai Super Kings
300,Rohan Kadam,20 Lakh,BATTER,,,,Unsold
421,Rohan Kunnummal,20 Lakh,BATTER,,,,Unsold
624,Rohan Rana,20 Lakh,ALL-ROUNDER,,,,Unsold
143,Rohit Sharma,Retained,BATTER,16,2080,MI,Mumbai Indians
218,Romario Shepherd,75 Lakh,ALL-ROUNDER,7.75,1007.5,,Sunrisers Hyderabad
448,Ronit More,20 Lakh,BOWLER,,,,Unsold
431,Roosh Kalaria,20 Lakh,ALL-ROUNDER,,,,Unsold
336,Roston Chase,1 Cr,ALL-ROUNDER,,,,Unsold
56,Rovman Powell,75 Lakh,BATTER,2.8,364,,Delhi Capitals
528,Ruben Trumpelmann,20 Lakh,BOWLER,,,,Unsold
27,Ruturaj Gaikwad,Retained,BATTER,6,780,CSK,Chennai Super Kings
604,Ryan John,20 Lakh,ALL-ROUNDER,,,,Unsold
440,Ryan Rickelton,20 Lakh,WICKETKEEPER,,,,Unsold
458,S. Kishan Kumar,20 Lakh,BOWLER,,,,Unsold
477,S. Sreesanth,50 Lakh,BOWLER,,,,Unsold
262,Sachin Baby,20 Lakh,BATTER,,,RCB,Unsold
540,Safvan Patel,20 Lakh,BOWLER,,,,Unsold
618,Safyaan Sharif,20 Lakh,ALL-ROUNDER,,,,Unsold
551,Sagar Trivedi,20 Lakh,ALL-ROUNDER,,,,Unsold
391,Sagar Udeshi,20 Lakh,BOWLER,,,,Unsold
601,Sahil Dhiwan,20 Lakh,ALL-ROUNDER,,,,Unsold
628,Sairaj Patil,20 Lakh,BATTER,,,,Unsold
79,Sam Billings,2 Cr,WICKETKEEPER,2,260,DC,Kolkata Knight Riders
589,Samarth Vyas,20 Lakh,ALL-ROUNDER,,,,Unsold
303,Sameer Rizvi,20 Lakh,BATTER,,,,Unsold
466,Samit Patel,50 Lakh,ALL-ROUNDER,,,,Unsold
441,Sandeep Kumar Tomar,20 Lakh,WICKETKEEPER,,,,Unsold
248,Sandeep Lamichhane,40 Lakh,BOWLER,,,,Unsold
111,Sandeep Sharma,50 Lakh,BOWLER,0.5,65,SRH,Punjab Kings
289,Sandeep Warrier,50 Lakh,BOWLER,,,KKR,Unsold
159,Sanjay Yadav,20 Lakh,ALL-ROUNDER,0.5,65,,Mumbai Indians
190,Sanju Samson,Retained,WICKETKEEPER,14,1820,RR,Rajasthan Royals
520,Sanvir Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
347,Saqib Mahmood,2 Cr,BOWLER,,,,Unsold
68,Sarfaraz Khan,20 Lakh,ALL-ROUNDER,0.2,26,PBKS,Delhi Capitals
384,Satyajeet Bachhav,20 Lakh,BOWLER,,,,Unsold
236,Saurabh Dubey,20 Lakh,BOWLER,0.2,26,,Sunrisers Hyderabad
360,Saurabh Kumar,20 Lakh,ALL-ROUNDER,,,,Unsold
255,Saurabh Tiwary,50 Lakh,BATTER,,,MI,Unsold
563,Saurav Chuahan,20 Lakh,ALL-ROUNDER,,,,Unsold
597,Saurin Thakar,20 Lakh,ALL-ROUNDER,,,,Unsold
342,Scott Kuggeleijn,75 Lakh,ALL-ROUNDER,,,RCB,Unsold
227,Sean Abbott,75 Lakh,BOWLER,2.4,312,,Sunrisers Hyderabad
512,Seekkuge Prasanna,50 Lakh,ALL-ROUNDER,,,,Unsold
582,Shafiqullah Ghafari,20 Lakh,ALL-ROUNDER,,,,Unsold
177,Shahbaz Ahamad,30 Lakh,ALL-ROUNDER,2.4,312,RCB,Royal Challengers Bangalore
135,Shahbaz Nadeem,50 Lakh,BOWLER,0.5,65,SRH,Lucknow Super Giants
99,Shahrukh Khan,40 Lakh,ALL-ROUNDER,9,1170,PBKS,Punjab Kings
281,Shai Hope,50 Lakh,WICKETKEEPER,,,,Unsold
239,Shakib Al Hasan,2 Cr,ALL-ROUNDER,,,KKR,Unsold
395,Shamrah Brooks,50 Lakh,BATTER,,,,Unsold
361,Shams Mulani,20 Lakh,ALL-ROUNDER,,,,Unsold
48,Shardul Thakur,2 Cr,BOWLER,10.75,1397.5,CSK,Delhi Capitals
235,Shashank Singh,20 Lakh,ALL-ROUNDER,0.2,26,,Sunrisers Hyderabad
485,Shashwat Rawat,20 Lakh,BATTER,,,,Unsold
256,Sheldon Cottrell,75 Lakh,BOWLER,,,,Unsold
85,Sheldon Jackson,30 Lakh,WICKETKEEPER,0.6,78,KKR,Kolkata Knight Riders
179,Sherfane Rutherford,1 Cr,ALL-ROUNDER,1,130,,Royal Challengers Bangalore
100,Shikhar Dhawan,2 Cr,BATTER,8.25,1072.5,DC,Punjab Kings
193,Shimron Hetmyer,1.5 Cr,BATTER,8.5,1105,DC,Rajasthan Royals
298,Shivam Chauhan,20 Lakh,BATTER,,,,Unsold
29,Shivam Dube,50 Lakh,ALL-ROUNDER,4,520,RR,Chennai Super Kings
77,Shivam Mavi,40 Lakh,ALL-ROUNDER,7.25,942.5,KKR,Kolkata Knight Riders
518,Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
569,Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
434,Shivank Vashisth,20 Lakh,ALL-ROUNDER,,,,Unsold
411,Shoriful Islam,50 Lakh,BOWLER,,,,Unsold
493,Shoun Roger,20 Lakh,ALL-ROUNDER,,,,Unsold
311,Shreevats Goswami,20 Lakh,WICKETKEEPER,,,SRH,Unsold
229,Shreyas Gopal,20 Lakh,BOWLER,0.75,97.5,RR,Sunrisers Hyderabad
71,Shreyas Iyer,2 Cr,BATTER,12.25,1592.5,DC,Kolkata Knight Riders
213,Shubham Garhwal,20 Lakh,ALL-ROUNDER,0.2,26,,Rajasthan Royals
548,Shubham Ranjane,20 Lakh,ALL-ROUNDER,,,,Unsold
536,Shubham Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
537,Shubham Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
544,Shubham Singh,20 Lakh,BOWLER,,,,Unsold
424,Shubham Singh Rohilla,20 Lakh,BATTER,,,,Unsold
430,Shubhang Hegde,20 Lakh,ALL-ROUNDER,,,,Unsold
367,Shubhum Arora,20 Lakh,WICKETKEEPER,,,,Unsold
4,Shubman Gill,Draft Pick,BATTER,8,1040,KKR,Gujarat Titans
595,Siddhant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
182,Siddharth Kaul,75 Lakh,BOWLER,0.75,97.5,SRH,Royal Challengers Bangalore
442,Siddhesh Wath,20 Lakh,WICKETKEEPER,,,,Unsold
534,Sijomon Joseph,20 Lakh,ALL-ROUNDER,,,,Unsold
40,Simarjeet Singh,20 Lakh,BOWLER,0.2,26,MI,Chennai Super Kings
510,Sisanda Magala,50 Lakh,ALL-ROUNDER,,,,Unsold
443,Stephen Cheepurupalli,20 Lakh,BOWLER,,,,Unsold
238,Steve Smith,2 Cr,BATTER,,,DC,Unsold
45,Subhranshu Senapati,20 Lakh,BATTER,0.2,26,,Chennai Super Kings
351,Sudip Chatterjee,20 Lakh,BATTER,,,,Unsold
576,Sujit Nayak,20 Lakh,ALL-ROUNDER,,,,Unsold
489,Sumit Kumar,20 Lakh,ALL-ROUNDER,,,,Unsold
78,Sunil Narine,Retained,ALL-ROUNDER,6,780,KKR,Kolkata Knight Riders
237,Suresh Raina,2 Cr,BATTER,,,CSK,Unsold
148,Suryakumar Yadav,Retained,BATTER,8,1040,MI,Mumbai Indians
376,Sushant Mishra,20 Lakh,BOWLER,,,,Unsold
185,Suyash Prabhudessai,20 Lakh,ALL-ROUNDER,0.3,39,RCB,Royal Challengers Bangalore
460,Swaraj Wabale,20 Lakh,BOWLER,,,,Unsold
54,Syed Khaleel Ahmed,50 Lakh,BOWLER,5.25,682.5,SRH,Delhi Capitals
222,T. Natarajan,1 Cr,BOWLER,4,520,SRH,Sunrisers Hyderabad
260,Tabraiz Shamsi,1 Cr,BOWLER,,,RR,Unsold
564,Tajinder Dhillon,20 Lakh,ALL-ROUNDER,,,,Unsold
307,Tanay Thyagarajan,20 Lakh,ALL-ROUNDER,,,,Unsold
297,Tanmay Agarwal,20 Lakh,BATTER,,,,Unsold
422,Tanmay Mishra,20 Lakh,BATTER,,,,Unsold
432,Tanush Kotian,20 Lakh,ALL-ROUNDER,,,,Unsold
388,Tanveer Sangha,20 Lakh,BOWLER,,,,Unsold
382,Tanveer Ul Haq,20 Lakh,BOWLER,,,,Unsold
438,Tarang Gohel,20 Lakh,WICKETKEEPER,,,,Unsold
344,Taskin Ahmed,50 Lakh,BOWLER,,,,Unsold
211,Tejas Baroka,20 Lakh,BOWLER,0.2,26,,Rajasthan Royals
467,Thisara Perera,50 Lakh,ALL-ROUNDER,,,,Unsold
146,Tim David,40 Lakh,ALL-ROUNDER,8.25,1072.5,RCB,Mumbai Indians
63,Tim Seifert,50 Lakh,WICKETKEEPER,0.5,65,KKR,Delhi Capitals
81,Tim Southee,1.5 Cr,BOWLER,1.5,195,KKR,Kolkata Knight Riders
290,Todd Astle,75 Lakh,BOWLER,,,,Unsold
301,Tom Kohler-Cadmore,40 Lakh,BATTER,,,,Unsold
549,Tom Rogers,20 Lakh,ALL-ROUNDER,,,,Unsold
194,Trent Boult,2 Cr,BOWLER,8,1040,MI,Rajasthan Royals
44,Tushar Deshpande,20 Lakh,BOWLER,0.2,26,,Chennai Super Kings
154,Tymal Mills,1 Cr,BOWLER,1.5,195,,Mumbai Indians
80,Umesh Yadav,2 Cr,BOWLER,2,260,DC,Kolkata Knight Riders
224,Umran Malik,Retained,BOWLER,4,520,SRH,Sunrisers Hyderabad
314,Upendra Singh Yadav,20 Lakh,WICKETKEEPER,,,,Unsold
372,Urvil Patel,20 Lakh,WICKETKEEPER,,,,Unsold
328,Usman Khawaja,1.5 Cr,BATTER,,,,Unsold
364,Utkarsh Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
497,V Koushik,20 Lakh,BOWLER,,,,Unsold
555,V. Athisayaraj,20 Lakh,BOWLER,,,,Unsold
558,V. Gowtham,20 Lakh,BOWLER,,,,Unsold
106,Vaibhav Arora,20 Lakh,BOWLER,2,260,KKR,Punjab Kings
17,Varun Aaron,50 Lakh,BOWLER,0.5,65,,Gujarat Titans
75,Varun Chakaravarthy,Retained,BOWLER,8,1040,KKR,Kolkata Knight Riders
271,Vasu Vats,20 Lakh,BOWLER,,,,Unsold
74,Venkatesh Iyer,Retained,ALL-ROUNDER,8,1040,KKR,Kolkata Knight Riders
70,Vicky Ostwal,20 Lakh,ALL-ROUNDER,0.2,26,,Delhi Capitals
451,Vidyadhar Patil,20 Lakh,BOWLER,,,,Unsold
15,Vijay Shankar,50 Lakh,ALL-ROUNDER,1.4,182,SRH,Gujarat Titans
539,Vipul Krishna,20 Lakh,BOWLER,,,,Unsold
168,Virat Kohli,Retained,BATTER,15,1950,RCB,Royal Challengers Bangalore
267,Virat Singh,20 Lakh,BATTER,,,SRH,Unsold
247,Vishnu Solanki,20 Lakh,WICKETKEEPER,,,,Unsold
230,Vishnu Vinod,20 Lakh,WICKETKEEPER,0.5,65,DC,Sunrisers Hyderabad
579,Vivrant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold
318,Vyshak Vijay Kumar,20 Lakh,BOWLER,,,,Unsold
170,Wanindu Hasaranga,1 Cr,ALL-ROUNDER,10.75,1397.5,RCB,Royal Challengers Bangalore
294,Waqar Salamkheil,50 Lakh,BOWLER,,,,Unsold
216,Washington Sundar,1.5 Cr,ALL-ROUNDER,8.75,1137.5,RCB,Sunrisers Hyderabad
465,Wayne Parnell,50 Lakh,ALL-ROUNDER,,,,Unsold
410,Wesley Agar,50 Lakh,BOWLER,,,,Unsold
13,Wriddhiman Saha,1 Cr,WICKETKEEPER,1.9,247,SRH,Gujarat Titans
118,Writtick Chatterjee,20 Lakh,ALL-ROUNDER,0.2,26,,Punjab Kings
6,Yash Dayal,20 Lakh,BOWLER,3.2,416,,Gujarat Titans
66,Yash Dhull,20 Lakh,ALL-ROUNDER,0.5,65,,Delhi Capitals
423,Yash Nahar,20 Lakh,BATTER,,,,Unsold
270,Yash Thakur,20 Lakh,BOWLER,,,,Unsold
198,Yashaswi Jaiswal,Retained,BATTER,4,520,RR,Rajasthan Royals
608,Yashovardhan Singh,20 Lakh,ALL-ROUNDER,,,,Unsold
429,Yudhvir Charak,20 Lakh,ALL-ROUNDER,,,MI,Unsold
599,Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,,,,Unsold
320,Yuvraj Chudasama,20 Lakh,BOWLER,,,,Unsold
196,Yuzvendra Chahal,2 Cr,BOWLER,6.5,845,RCB,Rajasthan Royals
292,Zahir Khan,50 Lakh,BOWLER,,,,Unsold
319,Zeeshan Ansari,20 Lakh,BOWLER,,,,Unsold
397,Zubayr Hamza,50 Lakh,BATTER,,,,Unsold
